gender,age,waste_feeling,waste_rating,activities_frequency,sports_value,measures_frequency
male,20,2,5,1,2,12
male,31,1,3,6,5,52
male,30,1,2,5,5,50
female,21,1,4,5,5,100
male,22,1,3,7,5,180
male,33,1,4,3,5,10
male,19,2,4,2,5,10
male,23,1,4,6,5,10
male,22,2,4,6,5,12
male,26,2,4,0,3,18
male,20,1,2,1,4,14
female,20,2,4,3,4,40
male,18,2,3,1,2,53
male,26,1,3,2,4,52
female,24,1,4,2,2,50
male,22,2,4,4,5,52
female,22,1,3,2,4,12
male,22,1,4,2,4,30
male,20,1,3,3,5,12
male,22,2,5,1,1,6
female,34,1,2,4,5,52
female,48,1,3,2,4,12
female,36,1,4,3,4,52
male,37,2,5,4,4,52
female,35,2,5,3,5,52
female,60,1,3,1,4,52
male,63,1,4,2,5,52
